#;Operadora;Usuario;Simcard;Mensalidade;Data Ativacao;IP;ICCID;Saldo;Consumo;Upload;Download;Ultima Conexao;Atacado;Contrato;IMEI Remoto;Operadora;Substatus;Status
1;Algar;'12112917000167;'5516996855535;7.03;2020-05-21;'10.249.171.63;'89553202000006954778;19.19076;0.81;3975;1360;2021-09-30 02:18:40;---;2020-05-21;'356428070739340;OI;Ativo;Ativo
2;Algar;'12112917000167;'5516996855620;7.03;2020-05-21;'10.249.171.62;'89553202000006954760;18.46367;1.54;0;0;2021-09-30 14:03:31;---;2020-05-21;'356428070738987;TIM;Ativo;Ativo
3;Algar;'12112917000167;'5516996857308;7.03;2020-05-21;'10.249.171.113;'89553202000006954752;18.27723;1.72;0;0;2021-09-30 15:00:56;---;2020-05-21;'356428070739290;OI;Ativo;Ativo
4;Algar;'12112917000167;'5516996852375;7.03;2020-05-21;'10.249.171.14;'89553202000006954745;18.8973;1.1;0;0;2021-09-30 15:52:27;---;2020-05-21;'356428070739282;TIM;Ativo;Ativo
5;Algar;'12112917000167;'5516996855576;7.03;2020-05-21;'10.249.171.70;'89553202000006954737;18.944;1.06;0;0;2021-09-30 15:43:20;---;2020-05-21;'356428070739043;OI;Ativo;Ativo
6;Algar;'12112917000167;'5516996859047;7.03;2020-05-21;'10.249.171.138;'89553202000006954711;19.463;0.54;0;0;2021-09-30 14:11:09;---;2020-05-21;'356430071904758;VIVO;Ativo;Ativo
7;Algar;'12112917000167;'5516996852381;7.03;2020-05-21;'10.249.171.110;'89553202000006954703;19.57394;0.43;0;0;2021-09-30 15:05:31;---;2020-05-21;'358222050100997;VIVO;Ativo;Ativo
8;Algar;'12112917000167;'5516996859077;7.03;2020-05-21;'10.249.171.133;'89553202000006954794;18.39135;1.61;0;0;2021-09-30 11:37:31;---;2020-05-21;'358222050979069;VIVO;Ativo;Ativo
9;Algar;'12112917000167;'5516996850518;7.03;2020-05-21;'10.249.171.162;'89553202000006954802;19.09419;0.9;0;0;2021-09-30 13:57:09;---;2020-05-21;'356430070411334;OI;Ativo;Ativo
10;Algar;'12112917000167;'5516996850538;7.03;2020-05-21;'10.249.171.59;'89553202000006954471;18.88263;1.12;0;0;2021-09-30 04:07:03;---;2020-05-21;'358222057605253;OI;Ativo;Ativo
11;Algar;'12112917000167;'5516996859034;7.03;2020-05-21;'10.249.171.136;'89553202000006954463;19.48871;0.51;0;0;2021-09-30 14:02:00;---;2020-05-21;'863998040291842;OI;Ativo;Ativo
12;Algar;'12112917000167;'5516996850496;7.03;2020-05-21;'10.249.171.91;'89553202000006954455;20;0;1969;1040;2020-07-14 13:37:24;---;2020-05-21;'356428070739027;TIM;Ativo;Ativo
13;Algar;'12112917000167;'5516996850474;7.03;2020-05-21;'10.249.206.205;'89553202000006954521;19.39527;0.6;0;0;2021-09-30 13:01:22;---;2020-05-21;'356430074669465;VIVO;Ativo;Ativo
14;Algar;'12112917000167;'5516996859060;7.03;2020-05-21;'10.249.171.60;'89553202000006954513;19.51685;0.48;0;0;2021-09-30 10:12:18;---;2020-05-21;'358222056727371;CLARO;Ativo;Ativo
15;Algar;'12112917000167;'5516996857487;7.03;2020-05-21;'10.249.171.101;'89553202000006954588;20;0;4167;1264;2021-08-21 17:57:40;---;2020-05-21;'358222056965237;TIM;Ativo;Ativo
16;Algar;'12112917000167;'5516996855781;7.03;2020-05-21;'10.249.171.86;'89553202000006954562;19.29568;0.7;0;0;2021-09-30 15:57:41;---;2020-05-21;'356430071650617;OI;Ativo;Ativo
17;Algar;'12112917000167;'5516996857554;7.03;2020-05-21;'10.249.206.207;'89553202000006954554;19.07324;0.93;0;0;2021-09-30 15:59:22;---;2020-05-21;'356430071294879;VIVO;Ativo;Ativo
18;Algar;'12112917000167;'5516996857546;7.03;2020-05-21;'10.249.171.75;'89553202000006953523;19.02021;0.98;0;0;2021-09-30 15:49:28;---;2020-05-21;'358222055580946;CLARO;Ativo;Ativo
19;Algar;'12112917000167;'5516996859190;7.03;2020-05-21;'10.249.171.81;'89553202000006953515;18.90994;1.09;0;0;2021-09-30 16:02:35;---;2020-05-21;'356429070975561;VIVO;Ativo;Ativo
